goods_id(商品ID),cat_id(商品类型ID),goods_sn(商品编号),goods_name(商品名称),click_count(商品浏览人次),goods_high(商品亮点),,market_price(市场价格),shop_price(售价),promote_price(促销价)
511,40,Pechoin000511,百雀羚三生花冰清莹白水乳2件套装护肤品 爽肤水+晶采乳液  保湿补水提亮肤色淡化色斑 送：面膜3片+小样2个+小镜子一个,9928,商城特推,873,357,298,0
512,40,Pechoin000512,百雀羚三生花冰清莹白3件套装 亮肤水+晶采乳液+雪凝霜 赠品如有变动不另行通知 保湿补水提亮肤色淡化色斑护肤,14045,,873,599,428,428
271,5,Pechoin000271,百雀羚草本焕采莹润亮肤面膜5片装/盒  送：百雀羚随机面膜2片 面贴膜保湿补水提亮肤色,15592,买一送二,485,75,62,62
273,44,Pechoin000273,百雀羚 三生花控油清肌平衡水凝乳100ml 送：随机面膜2片  控油补水 保湿滋养 抗痘  ,11288,,803,177,148,0
274,44,Pechoin000274,百雀羚 三生花控油清肌滢透爽肤水100ml 送：百雀羚三生花玲珑玉润菁华乳70ml+百雀羚随机面膜3片 补水滋养 收敛毛孔控油 滋养抗痘调理油性肌肤 ,8806,买一送四,764,179,145,145
275,44,Pechoin000275,百雀羚 三生花控油清肌调理水凝霜50g 送：随机面膜2片  补水清爽调理控油 收敛毛孔 ,10393,,831,186,155,0
276,43,Pechoin000276,百雀羚三生花草本蚕丝面膜补水面膜贴美白保湿细致嫩肤20片装随机款式,8337,,586,199,149,149
514,40,Pechoin000514,百雀羚三生花面膜贴10片 款式随机发 补水保湿蚕丝女小雀幸海藻睡眠,7618,推荐,853,90,75,75
277,44,Pechoin000277,百雀羚 三生花控油清肌莹透修饰乳30g CC霜 送：随机面膜2片 保湿美白控油裸装遮瑕强 ,13648,,810,186,159,0
278,45,Pechoin000278,百雀羚 三生花玲珑玉润清肌洁容膏90g 送：随机面膜1片 深层清洁洗面奶女补水保湿洁面乳 防伪查询,10568,,820,117.6,98,0
279,45,Pechoin000279,百雀羚 三生花玲珑玉润卸妆洁面乳90g 送随机面膜1片 深层清洁收缩毛孔,12314,,776,110.39,92,92
280,45,Pechoin000280,百雀羚 三生花玲珑玉润清滢醒肤水100ml 送：同系列菁华乳70ml一瓶+百雀羚面膜3片 化妆水 补水保湿滋润 平滑舒缓,13211,买一送四,833,176,147,0
281,45,Pechoin000281,百雀羚 三生花玲珑玉润悦活水凝霜50g 送：随机面膜2片 补水保湿水润滋养精华霜,12252,,843,198,165,0
282,45,Pechoin000282,百雀羚 三生花玲珑玉润沁养美容液100ml 赠品如有更换不另行通知 化妆水瞬间补水 持久保湿 调节水平衡 ,10915,,861,177.6,148,0
283,45,Pechoin000283,百雀羚 三生花玲珑玉润凝水菁华乳 100ml 送：随机面膜2片  补水保湿滋润  持久柔滑正品国货,13766,,857,189.6,158,0
284,45,Pechoin000284,百雀羚 三生花玲珑玉润菁纯精华液30ml 双11特价款 送：百雀羚因雀思听面膜2片+三生花玲珑玉润中样水20ml+乳液20ml+三生花洗发露7.5ml*5袋  赠品如有更换不另行通知 补水保湿淡化细纹提拉紧致肌底液 ,11904,特惠款,849,198,148,148
285,45,Pechoin000285,百雀羚 三生花玲珑玉润睛采眼部精华液15ml 送：百雀羚水嫩精纯清滢弹润面膜3片   淡化眼袋细纹补水保湿紧致,11822,,846,219,175,0
286,5,Pechoin000286,百雀羚甘油套装 凤凰甘油一号170g*3 滋润补水 嫩白保湿 国货护肤 芦荟维C珍珠 有防伪码。新老包装随机发,1408,,885,42,35,35
287,43,Pechoin000287,百雀羚 三生花水养海藻睡眠面膜200g 补水保湿美白收缩毛孔免洗 ,16998,,795,189.6,158,149
288,44,Pechoin000288,百雀羚 三生花控油清肌净透洁面膏90g  送：百雀羚三生花舒缓喷雾70ml+百雀羚随机面膜2片 深层清洁 清洁收缩毛孔祛油脂污垢,12908,买一得三,651,92,78,0
289,40,Pechoin000289,百雀羚三生花控油清肌净透活力礼盒 送：面膜3片+瓶装3个 赠品如有变动不另行通知 清爽滋润控油保湿正品,10921,买一送六,826,359,299,299
290,47,Pechoin000290,百雀羚 三生花青春紧弹活颜美容液100ml 赠品如有更换不另行通知 补水保湿滋润紧致爽肤水 ,14627,,798,188,149,0
291,47,Pechoin000291,百雀羚 三生花青春紧弹沁润眼部精华液15ml 送：随机面膜一片+甘油一瓶+随机瓶装一个 淡化细纹眼袋黑眼圈补水  防伪查询,12566,,758,249,178,0
292,47,Pechoin000292,百雀羚 三生花青春紧弹焕采凝乳100ml 赠品如有更换不另行通知 提拉紧致补水保湿滋润乳液 ,10579,,832,228,168,0
293,47,Pechoin000293,百雀羚 三生花青春紧弹温润洁面啫喱90g 赠品如有更换不另行通知 洗面奶深层清洁保湿滋润洁面膏 ,10678,,838,105.6,88,0
294,47,Pechoin000294,百雀羚 三生花青春紧弹焕活滋养霜50g  赠品如有更换不另行通知 提拉紧致 补水保湿滋润  锁水提亮 ,9617,,828,201.6,168,0
295,42,Pechoin000295,百雀羚 三生花舒缓细肤温和洁面泡沫150ml 送：随机面膜1片 洗面奶深层清洁补水保湿清爽 有防伪码 ,10888,,678,139,95,0
296,47,Pechoin000296,百雀羚 三生花青春紧弹赋活精华液30ml 赠品如有更换不另行通知 补水保湿滋润提拉紧致面部 有防伪码 ,11480,,808,225.6,188,0
297,42,Pechoin000297,百雀羚 三生花舒缓细肤清漾调理水100ml 送：随机面膜2片 补水保湿化妆水爽肤水舒缓干燥抗炎抗过敏,10652,,704,177.6,148,0
298,42,Pechoin000298,百雀羚 三生花舒缓细肤柔护霜50g 送：随机面膜2片  面霜 补水保湿滋润精华霜清爽锁水女 有防伪码 ,8432,,807,190.8,159,0
299,42,Pechoin000299,百雀羚 三生花舒缓细肤柔润凝乳100g 送：随机面膜2片 乳液 补水保湿清爽滋润精华乳 有防伪码 ,10764,,797,199,156,0
300,42,Pechoin000300,百雀羚 三生花舒缓细肤沁肌精华液30ml 送：随机面膜2片  补水保湿滋润肌底液面部  ,8474,,811,248,179,0
301,40,Pechoin000301,百雀羚三生花玲珑玉润套装 洁面+醒肤水+水凝霜 补水保湿滋润护肤品面部护理化妆品 清洁清爽 收缩毛孔 深度滋养,7128,,860,428,348,0
302,76,Pechoin000302,百雀羚三生花青春紧弹焕肤滢润礼盒4件套 双11特惠款  送：三生花多效芦荟凝胶180g一盒+百雀羚随机面膜5片+中样旅行套装一套   提拉紧致补水滋润保湿　赠品如有小变动不另行通知 ,9975,双十一特惠款,858,468,388,388
303,40,Pechoin000303,百雀羚 三生花舒缓细肤三件套装 洁面泡沫+调理水+润凝乳 送:三生花面膜4片+瓶装3个+甘油一个 温和清洁 保湿修护舒缓,13257,特惠套装,769,420,348,348
304,36,Pechoin000304,百雀羚新品 至臻皙白4件套装 (洁面+水+乳+霜) 送:面膜1盒+随机甘油 美白提亮肤色 淡化细纹淡斑,45116,淡斑首选,793,584,478,468
305,40,Pechoin000305,百雀羚三生花舒缓细肤嫩妍舒润礼盒 送：百雀羚三生花园面膜一盒+护发素500ml一瓶 滋润补水保湿敏感,13732,,795,428,348,348
604,74,Pechoin000604,百雀羚新品 橙花倍护洗手液500g   买一送一 家用花香按压温和清洁保湿滋润无防伪,2531,买一送一,870,36,22,0
471,40,Pechoin000471,百雀羚三生花冰清莹白光彩雪肌套装  送：（喷雾一瓶+面膜3片+甘油一个+旅行装一套）  水乳精华洁面 补水保湿提亮肤色淡斑,22288,爆款套装,862,466,388,388
472,49,Pechoin000472,百雀羚cc霜 水嫩精纯莹采修饰乳40g（软管）（2019年11月到期，介意的亲请慎拍哦！） CC霜  送：随机面膜一片+化妆棉一个 隔离遮瑕美白滋润,27358,,723,106.8,89,99
473,39,Pechoin000473,百雀羚 海之秘活源倍润深度保湿套装 洁肤水+滋养乳+保湿霜+眼霜+面膜+眼部导入仪,5137,,882,465.59,388,388
306,5,Pechoin000306,百雀羚 保湿滋养面霜50g 补水保湿滋润适合干性皮肤护肤品经典正品,3511,,800,18,15,0
307,9,Pechoin000307,百雀羚气韵草本水嫩倍现2件套装 盈透精纯水+保湿精纯乳液 送:面膜2片+随机瓶装小样2个 深层补水保湿,10266,,687,169,149,149
308,8,Pechoin000308,百雀羚焕白祛黄2件套装 醒肤水120ml+醒肤乳100ml  送:面膜1片+随机瓶装中样+脸扑 深层锁水 美白补水,7377,,738,179,149,149
310,37,Pechoin000310,百雀羚气韵水凝恒润优享七件套礼盒装 送:面膜2片＋随机瓶装2个＋化妆棉 补水保湿美白国货护肤品套装,5742,,868,402,335,335
355,37,Pechoin000355,百雀羚气韵草本水嫩十全十美钜享十件套装 送:面膜2片+化妆棉+随机小样2个 盒装补水保湿倍现滋润礼盒,21554,,755,358,298,298
312,5,Pechoin000312,百雀羚润唇膏8g+5g 唇部护理套装女 补水保湿 滋润天然 丰盈润唇凝露,5960,,753,16.68,13.9,0
